year,scenario,ecosystem_integrity,circulation_health,resource_base,social_order,technological_capacity,civilizational_survival_index
0,Dualism / Human Supremacy,0.82,0.78,0.86,0.8,0.55,0.788
1,Dualism / Human Supremacy,0.7819397499999999,0.74836569625,0.90547914342,0.796173786581418,0.5570053613694534,0.777895781870658
2,Dualism / Human Supremacy,0.7438299958600824,0.7166192176515052,0.9478932528343889,0.7926160496711508,0.5643111314748399,0.7672059743359353
3,Dualism / Human Supremacy,0.705659886214324,0.6847568627708875,0.9872336309804248,0.789276919860478,0.5718924155891295,0.7559146872910886
4,Dualism / Human Supremacy,0.6674196578989156,0.6527754375412763,1.0,0.7857447826940562,0.5795356081987642,0.7392350349789786
5,Dualism / Human Supremacy,0.6291083336524067,0.6206761624679257,1.0,0.7818223232103759,0.5871356537540783,0.7198884545696677
6,Dualism / Human Supremacy,0.5907292386920995,0.5884624096883042,1.0,0.777509660279607,0.5946882600171539,0.7004296490733625
7,Dualism / Human Supremacy,0.5522858596751654,0.556137620803694,1.0,0.7727584234703956,0.6021886026753283,0.6808527868915654
8,Dualism / Human Supremacy,0.513781864877929,0.5237053170458978,1.0,0.7675410412739758,0.609631554129342,0.6611552003288836
9,Dualism / Human Supremacy,0.4752211148301817,0.491169104647888,1.0,0.7618586631557402,0.6170119994240552,0.641338610026793
10,Dualism / Human Supremacy,0.4366076598868666,0.4585326737135688,1.0,0.7557124850176918,0.6243248367592498,0.621404822823031
11,Dualism / Human Supremacy,0.39794573769879,0.42579979704999266,1.0,0.7491037513726259,0.6315649780243486,0.6013557310804638
12,Dualism / Human Supremacy,0.35923977057962087,0.39297432896234585,1.0,0.7420337574764385,0.6387273493565894,0.5811933119715974
13,Dualism / Human Supremacy,0.3204943627666789,0.3600602040120389,1.0,0.7345038514173929,0.6458068917221806,0.5514356718928444
14,Dualism / Human Supremacy,0.2817142975732476,0.32706143573825436,1.0,0.7258831725061465,0.6525808520680817,0.5110981235679651
15,Dualism / Human Supremacy,0.24291342423468204,0.2939864396756557,1.0,0.7154855432467254,0.6587995911388779,0.46714838404710946
16,Dualism / Human Supremacy,0.20411567864637076,0.26084853785983175,0.9987042379443934,0.7030805009728194,0.6643593654271578,0.4225384812133802
17,Dualism / Human Supremacy,0.1653490274321991,0.22766305404150056,0.9942515631586484,0.6886265697123499,0.6692158454056053,0.3769116662714382
18,Dualism / Human Supremacy,0.12664297918391404,0.1944461325424029,0.9866445786590667,0.6720837789427181,0.6733262365069169,0.3302857475981467
19,Dualism / Human Supremacy,0.08802847063771285,0.16121469814266198,0.9758880400278064,0.6534137593389746,0.676649730650729,0.28268073637786595
20,Dualism / Human Supremacy,0.049537729985564743,0.12798640706776576,0.9619889374129201,0.6325798343808895,0.6791479668605902,0.23411880985552933
21,Dualism / Human Supremacy,0.011204117543482633,0.09477958903511122,0.9449565672678792,0.6095471067114819,0.6807854989331441,0.18462425327569745
